,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
log_return_1m,1.0,0.4426497383899199,0.12813259647238862,-0.006973831330032975,0.28530883417992337,-0.006602710097264539,-0.007481616873797184,-0.003832962480851933,-0.010413572792813179,0.04916414688710041,0.0069268716848422465,0.006377623657614164,0.0018065428773848603,0.03213435621337221,0.2114793486815866,0.003100166172342201,0.005321710055341002,0.005314220502378133,0.02973755144180321,0.029906755736237148,0.014783631943058869,0.37890945151338523,0.0002770405767047351,-0.0012714037181158903,0.0023587416854387697,0.0008942729748709985
log_return_5m,0.4426497383899199,1.0,0.286503025216479,-0.01591711144507332,0.5750181301215559,-0.026653772335981457,-0.031056950768317722,-0.014063545158724843,-0.030860820072834815,0.09441375881686105,0.004128123692826231,0.022835922766377772,0.02316662191103814,0.06493161021837066,0.3636340490259164,0.0010890572842523242,0.03504150514652619,0.040503762429702,0.29346558664750205,0.29585183137113646,-0.04586731166160971,0.6416061142551968,0.0005373932394123196,-0.0030361095542039114,0.0053468725429650235,0.0020313469190135353
log_return_60m,0.12813259647238862,0.286503025216479,1.0,-0.00363564008349166,0.010424877757144827,-0.1316147945092664,-0.023893273976979892,-0.04167958531544202,-0.09691352587618046,0.18301882642898992,-0.10731942669876025,0.2789503582115577,0.2596794293193485,0.12614069203725103,0.06682588432277416,-0.029921763382998304,0.1802690946959299,0.18149376461944766,-0.0012126498433252637,-0.003572307455095729,-0.3782823110921088,0.3346798753448345,-0.00015276350991948501,-0.01053850880398449,0.019342433371532457,0.006592883853997646
efficiency_ratio_h1,-0.006973831330032975,-0.01591711144507332,-0.00363564008349166,1.0,-0.006249853109033974,0.12993427975655317,0.06678389015587712,0.08939291717027123,0.093463679108294,-0.0009025781051631202,0.0930699982034795,0.0009402640589971145,-0.010282009628285564,-0.0021268952996412686,-0.003545743675089415,0.20763009919418135,0.09026192391111787,-0.08576243767013797,-0.003023205941700625,-0.003314908428489116,-0.007355016760223085,0.010177479652454255,0.024094303843891253,-0.0014105209151407594,0.0009288254885792367,0.012670569748025384
momentum_strength_10_zsarctan_w20,0.28530883417992337,0.5750181301215559,0.010424877757144827,-0.006249853109033974,1.0,0.009927880524854618,-0.011734147829631225,0.016575434083808425,0.003146609798590469,0.029179543252287114,0.009928812516580681,-0.02819723405581904,-0.02220170713473868,0.021115932434437414,0.36979765924719765,0.0058561080431822855,-0.031551643871465127,-0.026613573341807722,0.476984258471555,0.4760888010660697,0.08223545174403013,0.5917900590599454,0.0007332775351494223,-0.0005540791821509163,0.0007230268328038572,0.0006545325865789672
atr_14,-0.006602710097264539,-0.026653772335981457,-0.1316147945092664,0.12993427975655317,0.009927880524854618,1.0,0.2218459079365483,0.2447923681470135,0.30996474365698473,-0.016697577616897927,0.6665285762696567,0.024562246873013054,-0.11894994446804857,-0.01445681965806212,0.002140185076796701,0.1048864685025701,0.025338733255567625,-0.05080822924048438,-0.01500669123743946,0.023440810173963156,0.04241107641116552,-0.021523205722772734,0.31189969180668475,-0.04636410064682558,-0.06105729695692277,0.009628578692919013
atr_14_zsarctan_w20,-0.007481616873797184,-0.031056950768317722,-0.023893273976979892,0.06678389015587712,-0.011734147829631225,0.2218459079365483,1.0,0.4095606657940102,0.401676552361409,-0.008332954814003722,-0.08599504511492807,0.005863584014144862,0.0038493113348296625,-0.014283939297911689,-0.022913469145226826,0.10745815917240405,0.039258762359543425,-0.07577329607749848,-0.02398785590827154,0.006819789001123708,0.016403481040802914,-0.04216235069059875,0.008200364688717392,0.04591532295514108,0.004046637475947702,-0.001996929525560253
vol_ratio_deviation,-0.003832962480851933,-0.014063545158724843,-0.04167958531544202,0.08939291717027123,0.016575434083808425,0.2447923681470135,0.4095606657940102,1.0,0.48074226911672585,-0.01523900281686354,-0.030242782795127075,0.024356338397415817,-0.01708972255137843,-0.015941819819784306,-0.013762538039331678,0.14685393734710975,0.05331977292078542,-0.09461199267053236,-0.024820533051844243,0.04373073894524753,0.023260410860452895,-0.027151047188175424,0.04058794406000053,0.07566904425721896,0.002663758785657208,-0.005086450979324618
realized_vol_60_zsarctan_w20,-0.010413572792813179,-0.030860820072834815,-0.09691352587618046,0.093463679108294,0.003146609798590469,0.30996474365698473,0.401676552361409,0.48074226911672585,1.0,-0.020373345440286177,0.04424130829852963,0.08070833677749319,-0.06535462695151353,-0.020611181053787325,-0.013693628121813881,0.21109352449807173,0.06647705073134177,-0.13246355329018686,-0.001785538322020094,0.0032772190526626803,0.03350312056545711,-0.026897941642434926,0.01660541647011243,0.06870933995989555,0.001340625977616865,-0.0036933394623881338
h1_swing_range_position,0.04916414688710041,0.09441375881686105,0.18301882642898992,-0.0009025781051631202,0.029179543252287114,-0.016697577616897927,-0.008332954814003722,-0.01523900281686354,-0.020373345440286177,1.0,-0.005923410769494184,0.04646025396415179,0.030594231707945143,0.023775969739035126,0.344148656473097,-0.0013653910534124438,0.019503206663348118,0.01742151061617386,0.011085830375460862,0.01223472785955751,-0.10610937694948713,0.13087864014536998,0.0021101979537878073,-0.010603870817543817,0.005235305059139365,-0.004208499841638345
