horizon_min,r2_base_5d,r2_swt,r2_combined,swt_vs_base_gain,combined_vs_base_gain,combined_vs_swt_gain,mse_base,mse_swt,mse_combined,n_base_features,n_swt_features,n_combined_features
1,0.00014237808028194632,0.0007407310131067879,0.0010010448408094286,0.0005983529328248416,0.0008586667605274823,0.00026031382770264067,0.33196241698813006,0.3317637580176548,0.33167733130496574,5,29,34
2,0.00025040142740540006,0.001095617624918277,0.0015257257973310123,0.0008452161975128769,0.0012753243699256123,0.00043010817241273536,0.6610682369091706,0.6605093513819399,0.6602249493160396,5,29,34
3,0.0003536980471704476,0.0014667954117232318,0.0021033100491339995,0.0011130973645527842,0.001749612001963552,0.0006365146374107677,0.9885344582654908,0.9874337338411464,0.98680429455743,5,29,34
4,0.00046367893143772765,0.001813835414027909,0.0026399109118011577,0.0013501564825901813,0.00217623198036343,0.0008260754977732487,1.3152532860091144,1.3134766644767875,1.3123896619436766,5,29,34
5,0.0006291881188935644,0.0020769239824264263,0.0031662074557917697,0.0014477358635328619,0.0025370193368982052,0.0010892834733653434,1.6421756372317604,1.6397967038709138,1.6380067828919003,5,29,34
10,0.0015587703773873862,0.0033297175615377705,0.005709042914133211,0.0017709471841503843,0.004150272536745825,0.0023793253525954405,3.3126171201721606,3.3067414914550306,3.298847392469909,5,29,34
15,0.0030169955265106907,0.0034661200722049257,0.007290765541015043,0.000449124545694235,0.004273770014504352,0.0038246454688101172,4.987743271195501,4.985496374387166,4.9663622972603045,5,29,34
30,0.006330025844143328,0.004225388361103755,0.010993148195571845,-0.002104637483039573,0.004663122351428517,0.00676775983446809,9.917025080531142,9.93802978354882,9.87048618681848,5,29,34
