horizon,r2,correlation,coef,samples
1,2.9562075619882222e-05,-0.005437101766546244,-9.680416605911881e-07,99950
2,1.482515810113938e-07,0.0003850345190067078,9.567268071003156e-08,99949
3,2.685334350571722e-05,0.005182021179582417,1.5645688955418653e-06,99948
4,8.74508073156477e-06,0.002957208266502552,1.026380017266852e-06,99947
5,1.991694159708679e-05,0.004462840081911341,1.724518728592862e-06,99946
15,2.8282095349552172e-05,0.005318091325816432,3.497399037180313e-06,99936
30,1.2546466104934595e-06,-0.0011201100885981986,-1.021296013993245e-06,99921
