horizon_min,r2_base,r2_with_time,r2_gain,r2_gain_pct,mse_base,mse_with_time,mse_reduction_pct,base_significant,time_adds_value
1,8.526129469543786e-05,9.56542702762464e-05,1.0392975580808539e-05,1.039297558080854,0.33288310071753135,0.3328796407765953,0.001039386177482973,False,False
2,0.00012338738716766162,0.00014422045928219607,2.0833072114534446e-05,2.0833072114534446,0.6626070700621186,0.6625932642177773,0.002083564297012808,True,False
3,0.00017468057089453648,0.00020608987360348774,3.140930270895126e-05,3.140930270895126,0.9908198794514784,0.9907887530527775,0.003141479026257049,True,False
4,0.00020899754392977865,0.00025119975006249184,4.2202206132713194e-05,4.220220613271319,1.3170591961516083,1.3170036017288256,0.004221102813384126,True,False
5,0.0002467613936398827,0.00029966043122353625,5.289903758365355e-05,5.289903758365355,1.642717258942284,1.6426303393318598,0.005291209424575674,True,False
10,0.0007027157529406747,0.0008075857824664245,0.00010487002952574986,10.487002952574986,3.300442125069379,3.300095764213045,0.010494377516976572,True,False
15,0.001300924839919504,0.0014562304091417788,0.0001553055692222749,11.938089308209735,4.9611029192750555,4.960331428710968,0.015550787327753399,True,False
30,0.0025920892517705685,0.0029070767028314126,0.00031498745106084414,12.151875204362153,9.835252057374182,9.832146025285697,0.0315806048524874,True,False
