horizon_min,r2_trend,mse_trend,n_trend,r2_momentum,mse_momentum,n_momentum,r2_volatility,mse_volatility,n_volatility,r2_pattern,mse_pattern,n_pattern,r2_all,mse_all,n_all
1,0.00016355335104145663,0.3329175487982804,10,0.00020689571617182878,0.33290311700395375,15,3.038923149101258e-05,0.3329618887224922,8,2.96972910976967e-05,0.33296211911927404,3,0.0004916723425494318,0.33280829435898374,36
2,0.0002682233217445873,0.662546563455726,10,0.0002702836292368671,0.662545198039841,15,3.394734408668221e-05,0.6627018238440806,8,4.506865830977702e-05,0.6626944534786571,3,0.00077074094219165,0.662213532806636,36
3,0.00037534773037684044,0.9906505877039007,10,0.00029719047877407867,0.990728043303918,15,7.613366070668981e-05,0.9909471155989411,8,6.960637413633286e-05,0.9909535842872256,3,0.0009987314873894926,0.9900328003335638,36
4,0.0004426317165791005,1.3167598798929332,10,0.0003206705091749473,1.316920544633056,15,0.00010926681091105728,1.3171990358104189,8,8.735245508773026e-05,1.317227904533173,3,0.0011337251824424799,1.3158494727687602,36
5,0.0005005729143756632,1.6423463987539693,10,0.00037933206326556945,1.6425456179529068,15,0.00011880456047452803,1.6429737086494998,8,9.736391274051126e-05,1.6430089392555798,3,0.0013041341084210067,1.6410260119708904,36
10,0.0005373043278067424,3.300919272224923,10,0.0007088116793256827,3.3003528359543064,15,0.0003170408889651144,3.3016467349240184,8,0.00033542289839350037,3.301586024775008,3,0.0022050664566508615,3.2954111645422386,36
15,0.0003267416200913864,4.966209123676947,10,0.0009156477502677562,4.96328353676927,15,0.00045522409967879707,4.965570844262137,8,0.0004078795569637528,4.965806044011672,3,0.0028377680370325065,4.953734765483334,36
30,0.0007847315319592374,9.854264112314516,10,0.001123542457768023,9.85092275790129,15,0.00045227124116398176,9.857542836745315,8,0.000556226552832717,9.856517629135514,3,0.003092690760024386,9.831503011166935,36
