entry_bar,alignment,direction,entry_price,stop_loss,take_profit,planned_rr,risk_pips,outcome,pips,exit_price,exit_bar,bars_held,rr_achieved
11703,BULLISH_PULLBACK,long,157.087,157.055,157.148,1.9062500000012768,3.1999999999982265,loss,-3.1999999999982265,157.055,1735,33,0.0
11931,BULLISH_PULLBACK,long,157.20399999999998,157.168,157.303,2.750000000002566,3.5999999999972943,win,9.900000000001796,157.303,1937,7,2.750000000002566
11975,BULLISH_PULLBACK,long,157.31099999999998,157.27100000000002,157.461,3.7500000000042633,3.999999999996362,loss,-3.999999999996362,157.27100000000002,1990,16,0.0
11991,BULLISH_PULLBACK,long,157.30599999999998,157.26000000000002,157.436,2.8260869565244793,4.599999999996385,win,13.000000000002387,157.436,2006,16,2.8260869565244793
12076,BULLISH_PULLBACK,long,157.289,157.264,157.396,4.280000000003866,2.4999999999977263,loss,-2.4999999999977263,157.264,2101,26,0.0
12122,BULLISH_PULLBACK,long,157.08499999999998,157.031,157.384,5.537037037039863,5.3999999999973625,loss,-5.3999999999973625,157.031,2136,15,0.0
12126,BULLISH_PULLBACK,long,157.057,157.02200000000002,157.384,9.342857142865588,3.4999999999968168,loss,-3.4999999999968168,157.02200000000002,2136,11,0.0
12143,BULLISH_PULLBACK,long,157.04899999999998,157.02200000000002,157.164,4.25925925926616,2.699999999995839,loss,-2.699999999995839,157.02200000000002,2143,1,0.0
12150,BULLISH_PULLBACK,long,156.85399999999998,156.80700000000002,157.164,6.595744680855516,4.699999999996862,loss,-4.699999999996862,156.80700000000002,2165,16,0.0
12155,BULLISH_PULLBACK,long,156.94099999999997,156.80700000000002,157.164,1.6641791044782357,13.39999999999577,loss,-13.39999999999577,156.80700000000002,2165,11,0.0
12166,BULLISH_PULLBACK,long,156.84699999999998,156.79600000000002,157.164,6.215686274514907,5.09999999999593,loss,-5.09999999999593,156.79600000000002,2175,10,0.0
12168,BULLISH_PULLBACK,long,156.89299999999997,156.79600000000002,157.045,1.56701030927929,9.699999999995157,loss,-9.699999999995157,156.79600000000002,2175,8,0.0
12181,BULLISH_PULLBACK,long,156.702,156.674,157.045,12.250000000003299,2.7999999999991587,win,34.29999999999893,157.045,2273,93,12.250000000003299
12193,BULLISH_PULLBACK,long,156.76999999999998,156.674,156.939,1.7604166666672372,9.599999999997522,win,16.900000000001114,156.939,2198,6,1.7604166666672372
12240,BULLISH_PULLBACK,long,156.90699999999998,156.85600000000002,157.04,2.607843137257175,5.09999999999593,loss,-5.09999999999593,156.85600000000002,2243,4,0.0
12244,BULLISH_PULLBACK,long,156.88899999999998,156.84400000000002,157.04,3.3555555555588397,4.499999999995907,win,15.100000000001046,157.04,2273,30,3.3555555555588397
12252,BULLISH_PULLBACK,long,156.879,156.84400000000002,157.04,4.600000000004223,3.4999999999968168,win,16.100000000000136,157.04,2273,22,4.600000000004223
12665,BEARISH_RALLY,short,156.441,156.47,156.333,3.724137931035091,2.899999999999636,loss,-2.899999999999636,156.47,2681,17,0.0
12668,BEARISH_RALLY,short,156.433,156.47,156.333,2.7027027027021004,3.700000000000614,loss,-3.700000000000614,156.47,2681,14,0.0
12669,BEARISH_RALLY,short,156.437,156.47,156.333,3.151515151516796,3.299999999998704,loss,-3.299999999998704,156.47,2681,13,0.0
12675,STRONG_BEARISH,short,156.44,156.47,156.392,1.6,3.0000000000001137,loss,-3.0000000000001137,156.47,2681,7,0.0
12693,BEARISH_RALLY,short,156.495,156.511,156.426,4.312500000003442,1.5999999999991132,loss,-1.5999999999991132,156.511,2693,1,0.0
12696,BEARISH_RALLY,short,156.51,156.53699999999998,156.426,3.1111111111127485,2.6999999999986812,loss,-2.6999999999986812,156.53699999999998,2703,8,0.0
12706,BEARISH_RALLY,short,156.572,156.625,156.426,2.7547169811325003,5.299999999999727,loss,-5.299999999999727,156.625,2763,58,0.0
12708,BEARISH_RALLY,short,156.554,156.625,156.426,1.8028169014087043,7.099999999999795,loss,-7.099999999999795,156.625,2763,56,0.0
13429,BEARISH_RALLY,short,156.481,156.53699999999998,156.34,2.517857142857741,5.599999999998317,win,14.099999999999113,156.34,3507,79,2.517857142857741
13486,BEARISH_RALLY,short,156.425,156.446,156.349,3.61904761905097,2.0999999999986585,loss,-2.0999999999986585,156.446,3487,2,0.0
