entry_idx,exit_idx,direction,entry_price,exit_price,raw_pnl_pips,pnl_pips,touches_high,touches_low,touches_total,bars_held,params
52349,53349,long,156.481,155.904,-57.69999999999982,-61.69999999999982,69,0,69,1000,"Fast (1H zones, 3 pips)"
53427,54427,short,155.671,153.738,193.29999999999927,189.29999999999927,0,6,6,1000,"Fast (1H zones, 3 pips)"
54509,55509,short,153.608,154.676,-106.79999999999836,-110.79999999999836,0,8,8,1000,"Fast (1H zones, 3 pips)"
55590,56590,long,154.778,154.578,-19.999999999998863,-23.999999999998863,12,0,12,1000,"Fast (1H zones, 3 pips)"
56653,57653,short,154.411,154.247,16.399999999998727,12.399999999998727,0,3,3,1000,"Fast (1H zones, 3 pips)"
57862,58862,long,154.31,153.888,-42.199999999999704,-46.199999999999704,32,28,60,1000,"Fast (1H zones, 3 pips)"
58938,59938,short,153.47,153.226,24.399999999999977,20.399999999999977,0,12,12,1000,"Fast (1H zones, 3 pips)"
60014,61014,long,153.386,154.936,155.00000000000114,151.00000000000114,6,0,6,1000,"Fast (1H zones, 3 pips)"
61095,62095,long,154.995,154.02,-97.49999999999943,-101.49999999999943,4,1,5,1000,"Fast (1H zones, 3 pips)"
62190,63190,long,154.158,152.024,-213.3999999999986,-217.3999999999986,35,0,35,1000,"Fast (1H zones, 3 pips)"
63268,64268,short,151.634,151.54,9.399999999999409,5.399999999999409,0,3,3,1000,"Fast (1H zones, 3 pips)"
64338,65338,short,151.338,151.454,-11.600000000001387,-15.600000000001387,0,1,1,1000,"Fast (1H zones, 3 pips)"
65443,66443,short,151.419,151.499,-7.999999999998408,-11.999999999998408,19,8,27,1000,"Fast (1H zones, 3 pips)"
66512,67512,long,151.628,152.386,75.80000000000098,71.80000000000098,4,0,4,1000,"Fast (1H zones, 3 pips)"
67616,68616,long,152.642,152.554,-8.799999999999386,-12.799999999999386,15,0,15,1000,"Fast (1H zones, 3 pips)"
68756,69756,long,152.712,152.6,-11.199999999999477,-15.199999999999477,32,0,32,1000,"Fast (1H zones, 3 pips)"
69836,70836,long,152.786,153.226,43.99999999999977,39.99999999999977,7,0,7,1000,"Fast (1H zones, 3 pips)"
71338,72338,long,153.486,153.818,33.200000000002206,29.200000000002206,8,14,22,1000,"Fast (1H zones, 3 pips)"
72402,73402,long,153.956,154.326,37.000000000000455,33.000000000000455,3,0,3,1000,"Fast (1H zones, 3 pips)"
73659,74659,long,154.37,155.102,73.19999999999993,69.19999999999993,46,0,46,1000,"Fast (1H zones, 3 pips)"
74761,75761,long,155.41,156.377,96.7000000000013,92.7000000000013,12,0,12,1000,"Fast (1H zones, 3 pips)"
75845,76845,long,156.428,156.28,-14.799999999999613,-18.799999999999613,7,0,7,1000,"Fast (1H zones, 3 pips)"
76972,77972,long,156.374,157.058,68.39999999999975,64.39999999999975,18,38,56,1000,"Fast (1H zones, 3 pips)"
78041,79041,short,156.91,157.428,-51.80000000000007,-55.80000000000007,0,9,9,1000,"Fast (1H zones, 3 pips)"
79117,80117,short,157.236,159.697,-246.10000000000127,-250.10000000000127,0,16,16,1000,"Fast (1H zones, 3 pips)"
80192,81192,long,159.904,160.775,87.10000000000093,83.10000000000093,5,0,5,1000,"Fast (1H zones, 3 pips)"
81311,82311,long,160.91,159.93,-97.99999999999898,-101.99999999999898,22,2,24,1000,"Fast (1H zones, 3 pips)"
82372,83372,short,159.814,161.122,-130.80000000000211,-134.80000000000211,0,1,1,1000,"Fast (1H zones, 3 pips)"
83446,84446,long,161.2,160.484,-71.59999999999798,-75.59999999999798,13,0,13,1000,"Fast (1H zones, 3 pips)"
84510,85510,long,160.694,161.836,114.20000000000243,110.20000000000243,3,0,3,1000,"Fast (1H zones, 3 pips)"
85583,86583,long,161.964,162.241,27.700000000001523,23.700000000001523,2,0,2,1000,"Fast (1H zones, 3 pips)"
86658,87658,long,162.363,160.46,-190.29999999999916,-194.29999999999916,2,0,2,1000,"Fast (1H zones, 3 pips)"
87724,88724,long,160.74,160.166,-57.40000000000123,-61.40000000000123,6,0,6,1000,"Fast (1H zones, 3 pips)"
88807,89807,long,160.35,160.203,-14.699999999999136,-18.699999999999136,4,0,4,1000,"Fast (1H zones, 3 pips)"
89870,90870,short,159.822,160.131,-30.89999999999975,-34.89999999999975,0,2,2,1000,"Fast (1H zones, 3 pips)"
90935,91935,long,160.327,160.486,15.899999999999181,11.899999999999181,1,0,1,1000,"Fast (1H zones, 3 pips)"
92188,93188,long,160.794,161.165,37.09999999999809,33.09999999999809,42,0,42,1000,"Fast (1H zones, 3 pips)"
93305,94305,short,160.863,161.302,-43.899999999999295,-47.899999999999295,0,11,11,1000,"Fast (1H zones, 3 pips)"
94539,95539,long,161.503,161.771,26.800000000000068,22.800000000000068,39,4,43,1000,"Fast (1H zones, 3 pips)"
95615,96615,short,161.695,161.644,5.099999999998772,1.0999999999987722,0,1,1,1000,"Fast (1H zones, 3 pips)"
96681,97681,long,161.734,162.022,28.79999999999825,24.79999999999825,5,0,5,1000,"Fast (1H zones, 3 pips)"
97936,98936,long,162.218,161.908,-31.000000000000227,-35.00000000000023,109,4,113,1000,"Fast (1H zones, 3 pips)"
99019,99999,long,162.04,163.454,141.40000000000157,137.40000000000157,23,0,23,980,"Fast (1H zones, 3 pips)"
215,1215,long,155.75,155.53,-21.999999999999886,-25.999999999999886,43,35,78,1000,"Standard (2H zones, 5 pips)"
1407,2407,long,155.663,157.076,141.29999999999825,137.29999999999825,60,0,60,1000,"Standard (2H zones, 5 pips)"
2707,3707,long,157.296,157.579,28.300000000001546,24.300000000001546,68,9,77,1000,"Standard (2H zones, 5 pips)"
3857,4857,short,157.386,156.792,59.39999999999941,55.39999999999941,0,28,28,1000,"Standard (2H zones, 5 pips)"
4991,5991,short,156.396,156.81,-41.40000000000157,-45.40000000000157,0,12,12,1000,"Standard (2H zones, 5 pips)"
6630,7630,long,157.099,156.444,-65.50000000000011,-69.50000000000011,144,54,198,1000,"Standard (2H zones, 5 pips)"
7759,8759,short,156.212,156.611,-39.90000000000009,-43.90000000000009,0,9,9,1000,"Standard (2H zones, 5 pips)"
9266,10266,long,157.168,157.182,1.3999999999981583,-2.6000000000018417,11,0,11,1000,"Standard (2H zones, 5 pips)"
10462,11462,long,157.402,157.1,-30.19999999999925,-34.19999999999925,76,0,76,1000,"Standard (2H zones, 5 pips)"
11630,12630,long,157.29,156.224,-106.60000000000025,-110.60000000000025,19,4,23,1000,"Standard (2H zones, 5 pips)"
13091,14091,long,156.344,156.456,11.199999999999477,7.199999999999477,47,82,129,1000,"Standard (2H zones, 5 pips)"
14422,15422,long,156.608,156.37,-23.799999999999955,-27.799999999999955,193,0,193,1000,"Standard (2H zones, 5 pips)"
15871,16871,short,156.279,155.963,31.60000000000025,27.60000000000025,0,5,5,1000,"Standard (2H zones, 5 pips)"
17039,18039,short,155.652,155.612,3.999999999999204,-7.958078640513122e-13,0,43,43,1000,"Standard (2H zones, 5 pips)"
18236,19236,short,155.517,155.514,0.2999999999985903,-3.7000000000014097,50,21,71,1000,"Standard (2H zones, 5 pips)"
19367,20367,short,155.364,154.413,95.09999999999934,91.09999999999934,0,11,11,1000,"Standard (2H zones, 5 pips)"
20497,21497,short,153.942,154.026,-8.400000000000318,-12.400000000000318,0,10,10,1000,"Standard (2H zones, 5 pips)"
21804,22804,short,153.306,153.404,-9.799999999998477,-13.799999999998477,0,43,43,1000,"Standard (2H zones, 5 pips)"
22932,23932,long,153.658,153.778,12.000000000000455,8.000000000000455,4,0,4,1000,"Standard (2H zones, 5 pips)"
24323,25323,long,154.044,154.128,8.399999999997476,4.399999999997476,16,17,33,1000,"Standard (2H zones, 5 pips)"
25731,26731,short,153.83,154.565,-73.49999999999852,-77.49999999999852,1,28,29,1000,"Standard (2H zones, 5 pips)"
26962,27962,long,154.772,154.353,-41.89999999999827,-45.89999999999827,55,24,79,1000,"Standard (2H zones, 5 pips)"
28130,29130,long,154.676,154.802,12.600000000000477,8.600000000000477,14,0,14,1000,"Standard (2H zones, 5 pips)"
29339,30339,long,154.853,154.682,-17.10000000000207,-21.10000000000207,19,18,37,1000,"Standard (2H zones, 5 pips)"
31749,32749,long,155.234,155.216,-1.8000000000000682,-5.800000000000068,590,0,590,1000,"Standard (2H zones, 5 pips)"
32876,33876,long,155.512,156.228,71.60000000000082,67.60000000000082,7,0,7,1000,"Standard (2H zones, 5 pips)"
34276,35276,short,156.159,155.998,16.100000000000136,12.100000000000136,0,119,119,1000,"Standard (2H zones, 5 pips)"
35725,36725,short,155.76,156.049,-28.90000000000157,-32.90000000000157,38,24,62,1000,"Standard (2H zones, 5 pips)"
36986,37986,long,156.21,156.601,39.09999999999911,35.09999999999911,68,64,132,1000,"Standard (2H zones, 5 pips)"
38483,39483,short,156.31,156.382,-7.200000000000273,-11.200000000000273,16,26,42,1000,"Standard (2H zones, 5 pips)"
39694,40694,long,156.48,157.311,83.10000000000173,79.10000000000173,27,6,33,1000,"Standard (2H zones, 5 pips)"
40863,41863,short,157.171,157.625,-45.40000000000077,-49.40000000000077,0,49,49,1000,"Standard (2H zones, 5 pips)"
41983,42983,short,155.887,155.666,22.100000000000364,18.100000000000364,0,0,0,1000,"Standard (2H zones, 5 pips)"
43172,44172,long,156.4,156.111,-28.90000000000157,-32.90000000000157,19,0,19,1000,"Standard (2H zones, 5 pips)"
45559,46559,long,156.888,156.784,-10.400000000001342,-14.400000000001342,42,0,42,1000,"Standard (2H zones, 5 pips)"
46781,47781,short,156.478,156.508,-3.0000000000001137,-7.000000000000114,51,1,52,1000,"Standard (2H zones, 5 pips)"
47922,48922,short,156.383,156.402,-1.8999999999977035,-5.8999999999977035,0,6,6,1000,"Standard (2H zones, 5 pips)"
49179,50179,long,156.57,156.378,-19.200000000000728,-23.200000000000728,22,11,33,1000,"Standard (2H zones, 5 pips)"
50543,51543,short,156.1,155.972,12.79999999999859,8.79999999999859,4,38,42,1000,"Standard (2H zones, 5 pips)"
51758,52758,long,156.195,156.606,41.100000000000136,37.100000000000136,18,0,18,1000,"Standard (2H zones, 5 pips)"
52972,53972,short,156.398,154.675,172.29999999999848,168.29999999999848,0,31,31,1000,"Standard (2H zones, 5 pips)"
54103,55103,short,154.47,154.505,-3.499999999999659,-7.499999999999659,0,3,3,1000,"Standard (2H zones, 5 pips)"
55392,56392,long,154.792,154.973,18.10000000000116,14.10000000000116,14,26,40,1000,"Standard (2H zones, 5 pips)"
58600,59600,short,153.93,153.255,67.50000000000114,63.50000000000114,0,57,57,1000,"Standard (2H zones, 5 pips)"
59736,60736,short,153.058,154.846,-178.8000000000011,-182.8000000000011,0,14,14,1000,"Standard (2H zones, 5 pips)"
61012,62012,long,154.933,154.136,-79.6999999999997,-83.6999999999997,12,59,71,1000,"Standard (2H zones, 5 pips)"
62296,63296,short,153.786,151.528,225.80000000000098,221.80000000000098,130,7,137,1000,"Standard (2H zones, 5 pips)"
63533,64533,long,152.072,152.079,0.7000000000005002,-3.2999999999994998,51,0,51,1000,"Standard (2H zones, 5 pips)"
64783,65783,short,151.256,151.689,-43.29999999999927,-47.29999999999927,0,38,38,1000,"Standard (2H zones, 5 pips)"
65938,66938,short,151.464,151.902,-43.79999999999882,-47.79999999999882,0,15,15,1000,"Standard (2H zones, 5 pips)"
67069,68069,long,152.124,152.826,70.19999999999982,66.19999999999982,10,0,10,1000,"Standard (2H zones, 5 pips)"
68211,69211,long,152.904,151.988,-91.59999999999968,-95.59999999999968,22,0,22,1000,"Standard (2H zones, 5 pips)"
69366,70366,long,152.054,153.002,94.80000000000075,90.80000000000075,35,0,35,1000,"Standard (2H zones, 5 pips)"
70797,71797,long,153.194,154.062,86.80000000000234,82.80000000000234,6,88,94,1000,"Standard (2H zones, 5 pips)"
71921,72921,short,153.69,153.796,-10.599999999999454,-14.599999999999454,0,4,4,1000,"Standard (2H zones, 5 pips)"
73091,74091,long,154.193,154.398,20.49999999999841,16.49999999999841,7,0,7,1000,"Standard (2H zones, 5 pips)"
74214,75214,short,154.264,156.437,-217.30000000000018,-221.30000000000018,0,3,3,1000,"Standard (2H zones, 5 pips)"
75616,76616,long,156.604,156.028,-57.60000000000218,-61.60000000000218,10,1,11,1000,"Standard (2H zones, 5 pips)"
76972,77972,long,156.374,157.058,68.39999999999975,64.39999999999975,132,0,132,1000,"Standard (2H zones, 5 pips)"
78574,79574,short,156.741,157.524,-78.2999999999987,-82.2999999999987,0,131,131,1000,"Standard (2H zones, 5 pips)"
79710,80710,long,157.76,160.224,246.39999999999986,242.39999999999986,16,0,16,1000,"Standard (2H zones, 5 pips)"
80887,81887,long,160.952,159.77,-118.1999999999988,-122.1999999999988,3,0,3,1000,"Standard (2H zones, 5 pips)"
82034,83034,long,160.007,160.502,49.500000000000455,45.500000000000455,27,0,27,1000,"Standard (2H zones, 5 pips)"
83219,84219,long,160.912,160.59,-32.20000000000027,-36.20000000000027,15,5,20,1000,"Standard (2H zones, 5 pips)"
84514,85514,long,160.754,161.838,108.40000000000032,104.40000000000032,7,0,7,1000,"Standard (2H zones, 5 pips)"
85648,86648,long,162.956,161.914,-104.20000000000016,-108.20000000000016,5,0,5,1000,"Standard (2H zones, 5 pips)"
86777,87777,short,161.616,161.019,59.70000000000084,55.70000000000084,0,4,4,1000,"Standard (2H zones, 5 pips)"
87940,88940,long,161.1,160.656,-44.39999999999884,-48.39999999999884,5,0,5,1000,"Standard (2H zones, 5 pips)"
89077,90077,short,160.129,160.016,11.299999999999955,7.2999999999999545,0,17,17,1000,"Standard (2H zones, 5 pips)"
90781,91781,long,160.098,161.026,92.79999999999973,88.79999999999973,21,13,34,1000,"Standard (2H zones, 5 pips)"
91906,92906,short,160.526,160.79,-26.39999999999816,-30.39999999999816,0,5,5,1000,"Standard (2H zones, 5 pips)"
93039,94039,long,160.978,160.822,-15.600000000000591,-19.60000000000059,7,2,9,1000,"Standard (2H zones, 5 pips)"
94176,95176,long,161.278,161.812,53.400000000002024,49.400000000002024,9,0,9,1000,"Standard (2H zones, 5 pips)"
95308,96308,long,162.11,161.754,-35.6000000000023,-39.6000000000023,12,0,12,1000,"Standard (2H zones, 5 pips)"
96481,97481,long,161.923,161.922,-0.10000000000047748,-4.1000000000004775,7,29,36,1000,"Standard (2H zones, 5 pips)"
97690,98690,long,162.06,161.91,-15.000000000000568,-19.00000000000057,57,0,57,1000,"Standard (2H zones, 5 pips)"
99148,99999,long,162.148,163.454,130.60000000000116,126.60000000000116,105,8,113,851,"Standard (2H zones, 5 pips)"
363,1363,long,155.864,155.57,-29.400000000001114,-33.400000000001114,87,5,92,1000,"Slow (4H zones, 8 pips)"
1717,2717,long,156.118,157.182,106.3999999999993,102.3999999999993,17,0,17,1000,"Slow (4H zones, 8 pips)"
3259,4259,short,156.729,157.07,-34.099999999997976,-38.099999999997976,0,53,53,1000,"Slow (4H zones, 8 pips)"
4537,5537,short,156.518,156.988,-46.999999999999886,-50.999999999999886,0,26,26,1000,"Slow (4H zones, 8 pips)"
5933,6933,short,156.825,157.21,-38.50000000000193,-42.50000000000193,20,132,152,1000,"Slow (4H zones, 8 pips)"
7527,8527,short,156.992,156.853,13.899999999998158,9.899999999998158,146,80,226,1000,"Slow (4H zones, 8 pips)"
8791,9791,long,156.936,157.152,21.599999999997976,17.599999999997976,1,1,2,1000,"Slow (4H zones, 8 pips)"
10520,11520,long,157.536,157.116,-41.99999999999875,-45.99999999999875,192,2,194,1000,"Slow (4H zones, 8 pips)"
11891,12891,short,156.962,156.186,77.5999999999982,73.5999999999982,28,32,60,1000,"Slow (4H zones, 8 pips)"
13300,14300,short,155.942,156.566,-62.39999999999952,-66.39999999999952,103,9,112,1000,"Slow (4H zones, 8 pips)"
14702,15702,short,156.301,156.651,-35.000000000002274,-39.000000000002274,114,28,142,1000,"Slow (4H zones, 8 pips)"
16043,17043,short,155.986,155.59,39.59999999999866,35.59999999999866,0,20,20,1000,"Slow (4H zones, 8 pips)"
17289,18289,long,155.776,155.698,-7.800000000000296,-11.800000000000296,6,0,6,1000,"Slow (4H zones, 8 pips)"
18817,19817,short,155.566,154.65,91.59999999999968,87.59999999999968,94,83,177,1000,"Slow (4H zones, 8 pips)"
