timeframe,trades,win_rate,total_pips,pips_per_trade,trade_frequency
M5/H1,254,38.582677165354326,444.5999999999941,1.7503937007873784,42.333333333333336
H1/H4,20,55.00000000000001,424.9999999999943,21.249999999999716,40.0
M5/H4,223,37.66816143497758,330.9999999999974,1.4843049327354143,37.166666666666664
M30/H4,38,47.368421052631575,305.70000000000164,8.044736842105307,38.0
M15/H4,77,40.25974025974026,252.79999999999347,3.2831168831167985,38.5
M15/H1,99,40.4040404040404,230.49999999998647,2.3282828282826915,49.5
M1/H1,1216,34.786184210526315,138.50000000009288,0.11389802631586586,40.53333333333333
M1/H4,1098,35.51912568306011,46.80000000006146,0.042622950819728105,36.6
