entry,exit,direction,hit_tp,hit_sl,pnl_pips,bars_to_exit,rr
155.678,155.67833432999998,short,False,True,-3.343299999869487,1,302.0967307867731
155.658,155.66833433,short,False,True,-103.34330000006275,16,7.837953694137856
155.658,155.577,short,True,False,809.9999999998886,28,34.69946408610195
155.638,155.65733433,short,False,True,-193.34329999992406,3,3.1550097676015154
155.612,155.61233433,short,False,True,-3.343300000153704,1,104.6869859072997
155.612,155.577,short,True,False,349.9999999999659,5,2.8376085283879777
155.612,155.60333433,short,False,True,86.65669999999182,1,34999999.99999659
155.657,155.66133433,short,False,True,-43.343299999776264,1,12.22795680076756
155.632,155.604,short,True,False,279.9999999999159,1,3.3595981920565405
155.696,155.69833433,short,False,True,-23.343299999964984,3,11.138099583199232
155.692,155.69033432999998,short,False,True,16.65670000022601,2,120000000.00000454
155.702,155.69633432999998,short,False,True,56.65670000013279,1,129999999.99999544
155.673,155.68233433,short,False,True,-93.343300000015,11,10.82027312083276
155.666,155.67233432999998,short,False,True,-63.34329999987176,2,14.839769952020875
155.642,155.64333433,short,False,True,-13.343299999917235,1,26.979832575318447
155.625,155.62533433,short,False,True,-3.343299999869487,1,107.67804265667665
155.741,155.7,short,True,False,410.0000000002524,11,2.860266228007535
155.764,155.77033433,short,False,True,-63.34329999987176,5,5.209706472520735
155.764,155.76733432999998,short,False,True,-33.343299999728515,4,9.897040784890564
155.762,155.77833433,short,False,True,-163.34330000006503,2,5.264984850923086
155.762,155.676,short,True,False,860.0000000001273,24,8.321777996247508
155.712,155.676,short,True,False,360.00000000001364,1,36000000.00000136
155.735,155.72033433,short,False,True,146.6567000002783,1,47000000.000025466
155.691,155.69833433,short,False,True,-73.34329999991951,3,8.317051455289576
155.674,155.68033433,short,False,True,-63.34329999987176,4,6.31479572426783
155.676,155.68233433,short,False,True,-63.34330000015598,1,6.63053551044833
155.698,155.69633432999998,short,False,True,16.65670000022601,1,64000000.00002137
155.68,155.634,short,True,False,460.0000000002069,2,8.623388504305593
155.742,155.72433433,short,False,True,176.65669999985312,1,70999999.99999794
155.742,155.75233433,short,False,True,-103.34330000006275,1,6.870305089924053
155.805,155.79533433,short,False,True,96.65670000003956,1,45000000.000015914
155.81,155.82033433,short,False,True,-103.34330000006275,4,4.838243021074517
155.826,155.82833433,short,False,True,-23.343299999964984,1,28.27363740349544
155.826,155.82233433,short,False,True,36.65670000003729,1,66000000.000002496
155.84,155.733,short,True,False,1069.9999999999932,8,2.652827008656275
155.85,155.85433433,short,False,True,-43.34330000006048,1,26.993791427931644
155.798,155.81833433,short,False,True,-203.3432999999718,11,7.425865519052332
155.748,155.647,short,True,False,1009.9999999999909,17,5.50879143115187
155.748,155.647,short,True,False,1009.9999999999909,17,3.564580492991163
155.733,155.647,short,True,False,860.0000000001273,31,4.031061673837653
155.733,155.647,short,True,False,860.0000000001273,31,3.2656991842975005
155.642,155.382,short,True,False,2599.999999999909,34,8.571146948031917
155.652,155.66433433,short,False,True,-123.34330000015825,70,21.890122933279343
155.592,155.382,short,True,False,2100.0000000000796,24,6.922849458026284
155.592,155.382,short,True,False,2100.0000000000796,24,7.9743817290976695
155.594,155.55633433,short,False,True,376.65669999995544,1,211999999.99998906
155.536,155.54433433,short,False,True,-83.34329999996726,1,18.47779005631609
155.516,155.51233433,short,False,True,36.65670000003729,1,133999999.99998613
155.48,155.382,short,True,False,979.9999999998477,8,2.5564552712931263
155.491,155.52333432999998,short,False,True,-323.34329999969214,3,3.3710301094877377
155.558,155.441,short,True,False,1169.9999999999022,16,2.5808256127306355
155.521,155.441,short,True,False,799.9999999998408,12,5.217052195953463
155.502,155.50233433,short,False,True,-3.343299999869487,1,182.45446116827182
155.507,155.438,short,True,False,690.0000000001683,10,4.813618773952567
155.49,155.50733433,short,False,True,-173.34329999982856,1,2.9998275099223535
155.474,155.49033433,short,False,True,-163.34330000006503,4,3.9793490152318367
155.46,155.47233433,short,False,True,-123.34329999987403,5,4.134800998519435
155.454,155.47833433,short,False,True,-243.34329999987858,2,2.5478408487122004
155.486,155.392,short,True,False,939.9999999999409,7,4.622724230402827
155.463,155.392,short,True,False,709.9999999999795,10,3.042727174937654
155.449,155.45633433,short,False,True,-73.34329999991951,9,7.7716710319932325
155.449,155.45433433,short,False,True,-53.34329999982401,8,11.060433081609231
155.463,155.39,short,True,False,730.000000000075,4,3.42171514174576
155.39,155.40833433,short,False,True,-183.34330000016053,2,14.290132227344607
155.327,155.38233433,short,False,True,-553.3432999999377,27,3.5963207650663644
155.291,155.128,short,True,False,1630.0000000001091,3,6.189639151633132
155.296,155.30233433,short,False,True,-63.34330000015598,1,26.52214204179332
155.208,155.20633433,short,False,True,16.656699999941793,1,45999999.99999227
155.224,155.24233433,short,False,True,-183.34330000016053,2,3.38163434387453
155.304,155.31633433,short,False,True,-123.34329999987403,2,6.972409526913951
155.339,155.218,short,True,False,1210.0000000000932,12,5.18549279109148
155.336,155.218,short,True,False,1180.0000000002342,10,16.08872248728281
155.29,155.31033433,short,False,True,-203.3432999999718,4,3.5408100488195435
155.29,155.29833433,short,False,True,-83.34329999996726,3,13.438392768229573
155.448,155.48533433,short,False,True,-373.3432999999309,83,7.231949789913472
155.378,155.43233433,short,False,True,-543.3433000001742,50,3.6809140740287867
155.221,155.24033433,short,False,True,-193.34329999992406,1,6.051412177201702
155.221,155.26233433,short,False,True,-413.34329999983765,5,2.8305769078641454
155.148,155.17833432999998,short,False,True,-303.34329999988086,2,3.230663080411641
155.116,154.89,short,True,False,2260.000000000275,17,6.22001286387007
